127.0.0.1 - - [10/May/2023:09:43:06 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:07 +0700] "GET /assign-front-end/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:07 +0700] "GET /assign-front-end/trang-chu HTTP/1.1" 200 33862
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/css/style.css HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/css/style.css HTTP/1.1" 200 12835
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/css/swiper.css HTTP/1.1" 200 22990
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/css/aos.min.css HTTP/1.1" 200 28765
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/css/bootstrap.min.css HTTP/1.1" 200 155844
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/css/fontawesome-all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/js/app.js HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/js/angular-route.min.js HTTP/1.1" 200 5737
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/login/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/js/angular.min.js HTTP/1.1" 200 241214
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/bootstrap.min.js HTTP/1.1" 200 78743
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/purecounter.min.js HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/images/about.jpg HTTP/1.1" 200 264089
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/images/work.jpg HTTP/1.1" 200 87880
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/validation.js HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/script.js HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/aos.js HTTP/1.1" 200 20669
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/js/swiper.min.js HTTP/1.1" 200 125617
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:08 +0700] "GET /assign-front-end/templates/web/assets/images/testimonial-1.jpg HTTP/1.1" 200 9162
