127.0.0.1 - - [03/Jun/2023:08:11:20 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:21 +0700] "GET /Java_Four_Assign/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/trang-chu HTTP/1.1" 200 11872
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/web/fontawesome/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/web/css/templatemo-style.css HTTP/1.1" 200 14405
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/web/css/web.header.css HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/web/css/bootstrap.min.css HTTP/1.1" 200 229527
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:24 +0700] "GET /Java_Four_Assign/templates/web/js/bootstrap.bundle.min.js HTTP/1.1" 200 78474
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:25 +0700] "GET /Java_Four_Assign/templates/web/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:33 +0700] "GET /Java_Four_Assign/trang-chu?page=2&limit=2 HTTP/1.1" 200 11869
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:38 +0700] "GET /Java_Four_Assign/video?action=watch&id=zFJAI0e4GMA HTTP/1.1" 200 8034
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:38 +0700] "GET /Java_Four_Assign/templates/web/img/img-01.jpg HTTP/1.1" 200 17405
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/login HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/css/main.css HTTP/1.1" 200 10109
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/js/main.js HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/images/bg-01.jpg HTTP/1.1" 200 24337
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:11:43 +0700] "GET /Java_Four_Assign/templates/login/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:12:26 +0700] "GET /Java_Four_Assign/trang-chu HTTP/1.1" 200 11872
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:13:34 +0700] "GET /Java_Four_Assign/login HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:13:42 +0700] "POST /Java_Four_Assign/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:13:42 +0700] "GET /Java_Four_Assign/trang-chu HTTP/1.1" 200 12738
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:13:47 +0700] "GET /Java_Four_Assign/video?action=watch&id=GrF2S2jSU2Y HTTP/1.1" 200 9235
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:13:56 +0700] "GET /Java_Four_Assign/history HTTP/1.1" 200 12395
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:01 +0700] "GET /Java_Four_Assign/video?action=watch&id=GISTHJNS9SA HTTP/1.1" 200 9239
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:03 +0700] "GET /Java_Four_Assign/video?action=like&id=GISTHJNS9SA HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:04 +0700] "GET /Java_Four_Assign/video?action=like&id=GISTHJNS9SA HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:06 +0700] "GET /Java_Four_Assign/trang-chu HTTP/1.1" 200 12738
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:09 +0700] "GET /Java_Four_Assign/history HTTP/1.1" 200 12395
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:12 +0700] "GET /Java_Four_Assign/video?action=watch&id=GISTHJNS9SA HTTP/1.1" 200 9239
0:0:0:0:0:0:0:1 - - [03/Jun/2023:08:14:13 +0700] "GET /Java_Four_Assign/video?action=like&id=GISTHJNS9SA HTTP/1.1" 204 -
